wavenumber_cm^-1,reflectance_pct
1000.000000,51.777664
1001.000000,51.690234
1002.000000,51.598605
1003.000000,51.502839
1004.000000,51.402995
1005.000000,51.299139
1006.000000,51.191338
1007.000000,51.079660
1008.000000,50.964177
1009.000000,50.844961
1010.000000,50.722089
1011.000000,50.595637
1012.000000,50.465686
1013.000000,50.332317
1014.000000,50.195613
1015.000000,50.055661
1016.000000,49.912547
1017.000000,49.766360
1018.000000,49.617191
1019.000000,49.465134
1020.000000,49.310282
1021.000000,49.152730
1022.000000,48.992578
1023.000000,48.829923
1024.000000,48.664866
1025.000000,48.497509
1026.000000,48.327955
1027.000000,48.156308
1028.000000,47.982675
1029.000000,47.807162
1030.000000,47.629878
1031.000000,47.450930
1032.000000,47.270431
1033.000000,47.088490
1034.000000,46.905219
1035.000000,46.720733
1036.000000,46.535143
1037.000000,46.348565
1038.000000,46.161113
1039.000000,45.972903
1040.000000,45.784052
1041.000000,45.594675
1042.000000,45.404890
1043.000000,45.214815
1044.000000,45.024566
1045.000000,44.834261
1046.000000,44.644020
1047.000000,44.453959
1048.000000,44.264197
1049.000000,44.074852
1050.000000,43.886042
1051.000000,43.697885
1052.000000,43.510498
1053.000000,43.323999
1054.000000,43.138505
1055.000000,42.954131
1056.000000,42.770995
1057.000000,42.589211
1058.000000,42.408895
1059.000000,42.230160
1060.000000,42.053120
1061.000000,41.877886
1062.000000,41.704572
1063.000000,41.533287
1064.000000,41.364142
1065.000000,41.197243
1066.000000,41.032700
1067.000000,40.870618
1068.000000,40.711101
1069.000000,40.554254
1070.000000,40.400179
1071.000000,40.248975
1072.000000,40.100742
1073.000000,39.955577
1074.000000,39.813577
1075.000000,39.674835
1076.000000,39.539442
1077.000000,39.407491
1078.000000,39.279068
1079.000000,39.154260
1080.000000,39.033152
1081.000000,38.915826
1082.000000,38.802362
1083.000000,38.692838
1084.000000,38.587329
1085.000000,38.485909
1086.000000,38.388649
1087.000000,38.295617
1088.000000,38.206878
1089.000000,38.122498
1090.000000,38.042535
1091.000000,37.967049
1092.000000,37.896095
1093.000000,37.829726
1094.000000,37.767992
1095.000000,37.710940
1096.000000,37.658615
1097.000000,37.611057
1098.000000,37.568305
1099.000000,37.530396
1100.000000,37.497361
1101.000000,37.469230
1102.000000,37.446029
1103.000000,37.427782
1104.000000,37.414508
1105.000000,37.406226
1106.000000,37.402948
1107.000000,37.404685
1108.000000,37.411445
1109.000000,37.423232
1110.000000,37.440046
1111.000000,37.461886
1112.000000,37.488745
1113.000000,37.520615
1114.000000,37.557483
1115.000000,37.599334
1116.000000,37.646149
1117.000000,37.697905
1118.000000,37.754577
1119.000000,37.816136
1120.000000,37.882550
1121.000000,37.953783
1122.000000,38.029796
1123.000000,38.110548
1124.000000,38.195992
1125.000000,38.286081
1126.000000,38.380763
1127.000000,38.479981
1128.000000,38.583679
1129.000000,38.691795
1130.000000,38.804264
1131.000000,38.921018
1132.000000,39.041988
1133.000000,39.167098
1134.000000,39.296273
1135.000000,39.429432
1136.000000,39.566493
1137.000000,39.707371
1138.000000,39.851977
1139.000000,40.000221
1140.000000,40.152008
1141.000000,40.307243
1142.000000,40.465825
1143.000000,40.627655
1144.000000,40.792627
1145.000000,40.960635
1146.000000,41.131571
1147.000000,41.305323
1148.000000,41.481778
1149.000000,41.660822
1150.000000,41.842336
1151.000000,42.026200
1152.000000,42.212295
1153.000000,42.400496
1154.000000,42.590679
1155.000000,42.782717
1156.000000,42.976482
1157.000000,43.171845
1158.000000,43.368674
1159.000000,43.566837
1160.000000,43.766200
1161.000000,43.966630
1162.000000,44.167989
1163.000000,44.370143
1164.000000,44.572952
1165.000000,44.776279
1166.000000,44.979986
1167.000000,45.183932
1168.000000,45.387977
1169.000000,45.591983
1170.000000,45.795807
1171.000000,45.999310
1172.000000,46.202351
1173.000000,46.404789
1174.000000,46.606485
1175.000000,46.807297
1176.000000,47.007086
1177.000000,47.205713
1178.000000,47.403039
1179.000000,47.598927
