wavenumber_cm^-1,reflectance_pct
1000.000000,50.258940
1001.000000,50.118652
1002.000000,49.975167
1003.000000,49.828580
1004.000000,49.678986
1005.000000,49.526482
1006.000000,49.371167
1007.000000,49.213143
1008.000000,49.052510
1009.000000,48.889372
1010.000000,48.723833
1011.000000,48.556001
1012.000000,48.385981
1013.000000,48.213882
1014.000000,48.039813
1015.000000,47.863886
1016.000000,47.686210
1017.000000,47.506900
1018.000000,47.326067
1019.000000,47.143826
1020.000000,46.960291
1021.000000,46.775578
1022.000000,46.589803
1023.000000,46.403081
1024.000000,46.215530
1025.000000,46.027267
1026.000000,45.838410
1027.000000,45.649076
1028.000000,45.459383
1029.000000,45.269450
1030.000000,45.079395
1031.000000,44.889335
1032.000000,44.699389
1033.000000,44.509676
1034.000000,44.320312
1035.000000,44.131416
1036.000000,43.943104
1037.000000,43.755494
1038.000000,43.568701
1039.000000,43.382843
1040.000000,43.198033
1041.000000,43.014388
1042.000000,42.832020
1043.000000,42.651044
1044.000000,42.471571
1045.000000,42.293713
1046.000000,42.117582
1047.000000,41.943285
1048.000000,41.770933
1049.000000,41.600632
1050.000000,41.432489
1051.000000,41.266609
1052.000000,41.103095
1053.000000,40.942051
1054.000000,40.783576
1055.000000,40.627771
1056.000000,40.474734
1057.000000,40.324560
1058.000000,40.177346
1059.000000,40.033183
1060.000000,39.892164
1061.000000,39.754379
1062.000000,39.619914
1063.000000,39.488855
1064.000000,39.361288
1065.000000,39.237293
1066.000000,39.116951
1067.000000,39.000339
1068.000000,38.887534
1069.000000,38.778608
1070.000000,38.673633
1071.000000,38.572679
1072.000000,38.475811
1073.000000,38.383094
1074.000000,38.294591
1075.000000,38.210360
1076.000000,38.130459
1077.000000,38.054942
1078.000000,37.983861
1079.000000,37.917266
1080.000000,37.855203
1081.000000,37.797717
1082.000000,37.744848
1083.000000,37.696636
1084.000000,37.653117
1085.000000,37.614322
1086.000000,37.580284
1087.000000,37.551029
1088.000000,37.526582
1089.000000,37.506964
1090.000000,37.492195
1091.000000,37.482289
1092.000000,37.477261
1093.000000,37.477120
1094.000000,37.481873
1095.000000,37.491524
1096.000000,37.506073
1097.000000,37.525520
1098.000000,37.549857
1099.000000,37.579079
1100.000000,37.613172
1101.000000,37.652123
1102.000000,37.695914
1103.000000,37.744525
1104.000000,37.797932
1105.000000,37.856110
1106.000000,37.919027
1107.000000,37.986652
1108.000000,38.058949
1109.000000,38.135878
1110.000000,38.217399
1111.000000,38.303466
1112.000000,38.394031
1113.000000,38.489045
1114.000000,38.588452
1115.000000,38.692196
1116.000000,38.800219
1117.000000,38.912456
1118.000000,39.028843
1119.000000,39.149312
1120.000000,39.273791
1121.000000,39.402207
1122.000000,39.534484
1123.000000,39.670541
1124.000000,39.810298
1125.000000,39.953669
1126.000000,40.100568
1127.000000,40.250905
1128.000000,40.404588
1129.000000,40.561522
1130.000000,40.721610
1131.000000,40.884754
1132.000000,41.050852
1133.000000,41.219799
1134.000000,41.391491
1135.000000,41.565819
1136.000000,41.742672
1137.000000,41.921940
1138.000000,42.103508
1139.000000,42.287260
1140.000000,42.473079
1141.000000,42.660845
1142.000000,42.850438
1143.000000,43.041735
1144.000000,43.234613
1145.000000,43.428946
1146.000000,43.624607
1147.000000,43.821469
1148.000000,44.019402
1149.000000,44.218277
1150.000000,44.417962
1151.000000,44.618325
1152.000000,44.819234
1153.000000,45.020556
1154.000000,45.222155
1155.000000,45.423897
1156.000000,45.625647
1157.000000,45.827270
1158.000000,46.028629
1159.000000,46.229588
1160.000000,46.430012
1161.000000,46.629765
1162.000000,46.828710
1163.000000,47.026711
1164.000000,47.223633
1165.000000,47.419341
1166.000000,47.613700
1167.000000,47.806577
1168.000000,47.997837
1169.000000,48.187349
1170.000000,48.374980
1171.000000,48.560600
1172.000000,48.744079
1173.000000,48.925289
1174.000000,49.104102
1175.000000,49.280392
1176.000000,49.454035
1177.000000,49.624908
1178.000000,49.792890
1179.000000,49.957862
1180.000000,50.119704
1181.000000,50.278303
1182.000000,50.433543
1183.000000,50.585314
1184.000000,50.733505
1185.000000,50.878009
1186.000000,51.018722
1187.000000,51.155541
1188.000000,51.288365
1189.000000,51.417099
1190.000000,51.541646
1191.000000,51.661914
1192.000000,51.777816
1193.000000,51.889264
1194.000000,51.996176
1195.000000,52.098470
1196.000000,52.196070
1197.000000,52.288902
1198.000000,52.376895
1199.000000,52.459982
1200.000000,52.538099
1201.000000,52.611184
1202.000000,52.679182
1203.000000,52.742037
1204.000000,52.799700
1205.000000,52.852125
1206.000000,52.899267
1207.000000,52.941089
1208.000000,52.977555
1209.000000,53.008632
1210.000000,53.034294
1211.000000,53.054515
1212.000000,53.069275
1213.000000,53.078559
1214.000000,53.082353
1215.000000,53.080649
1216.000000,53.073441
1217.000000,53.060730
1218.000000,53.042518
1219.000000,53.018812
1220.000000,52.989624
1221.000000,52.954967
1222.000000,52.914861
1223.000000,52.869329
1224.000000,52.818397
1225.000000,52.762096
1226.000000,52.700460
1227.000000,52.633527
1228.000000,52.561339
1229.000000,52.483943
1230.000000,52.401388
1231.000000,52.313727
1232.000000,52.221017
1233.000000,52.123319
1234.000000,52.020698
1235.000000,51.913221
1236.000000,51.800960
1237.000000,51.683989
1238.000000,51.562388
1239.000000,51.436237
1240.000000,51.305623
1241.000000,51.170632
1242.000000,51.031357
1243.000000,50.887891
1244.000000,50.740334
1245.000000,50.588784
1246.000000,50.433346
1247.000000,50.274126
1248.000000,50.111233
1249.000000,49.944778
1250.000000,49.774876
1251.000000,49.601644
1252.000000,49.425200
1253.000000,49.245666
1254.000000,49.063165
1255.000000,48.877825
1256.000000,48.689771
1257.000000,48.499134
1258.000000,48.306046
1259.000000,48.110640
1260.000000,47.913050
1261.000000,47.713414
1262.000000,47.511869
1263.000000,47.308554
1264.000000,47.103611
1265.000000,46.897180
1266.000000,46.689404
1267.000000,46.480427
1268.000000,46.270392
1269.000000,46.059446
1270.000000,45.847733
