source_file,source_sheet,wavenumber_cm^-1,reflectance_pct
sic_10deg_synthetic.csv,sic_10deg_synthetic,1000.0,50.25894
sic_10deg_synthetic.csv,sic_10deg_synthetic,1001.0,50.118652
sic_10deg_synthetic.csv,sic_10deg_synthetic,1002.0,49.975167
sic_10deg_synthetic.csv,sic_10deg_synthetic,1003.0,49.82858
sic_10deg_synthetic.csv,sic_10deg_synthetic,1004.0,49.678986
sic_10deg_synthetic.csv,sic_10deg_synthetic,1005.0,49.526482
sic_10deg_synthetic.csv,sic_10deg_synthetic,1006.0,49.371167
sic_10deg_synthetic.csv,sic_10deg_synthetic,1007.0,49.213143
sic_10deg_synthetic.csv,sic_10deg_synthetic,1008.0,49.05251
sic_10deg_synthetic.csv,sic_10deg_synthetic,1009.0,48.889372
sic_10deg_synthetic.csv,sic_10deg_synthetic,1010.0,48.723833
sic_10deg_synthetic.csv,sic_10deg_synthetic,1011.0,48.556001
sic_10deg_synthetic.csv,sic_10deg_synthetic,1012.0,48.385981
sic_10deg_synthetic.csv,sic_10deg_synthetic,1013.0,48.213882
sic_10deg_synthetic.csv,sic_10deg_synthetic,1014.0,48.039813
sic_10deg_synthetic.csv,sic_10deg_synthetic,1015.0,47.863886
sic_10deg_synthetic.csv,sic_10deg_synthetic,1016.0,47.68621
sic_10deg_synthetic.csv,sic_10deg_synthetic,1017.0,47.5069
sic_10deg_synthetic.csv,sic_10deg_synthetic,1018.0,47.326067
sic_10deg_synthetic.csv,sic_10deg_synthetic,1019.0,47.143826
sic_10deg_synthetic.csv,sic_10deg_synthetic,1020.0,46.960291
sic_10deg_synthetic.csv,sic_10deg_synthetic,1021.0,46.775578
sic_10deg_synthetic.csv,sic_10deg_synthetic,1022.0,46.589803
sic_10deg_synthetic.csv,sic_10deg_synthetic,1023.0,46.403081
sic_10deg_synthetic.csv,sic_10deg_synthetic,1024.0,46.21553
sic_10deg_synthetic.csv,sic_10deg_synthetic,1025.0,46.027267
sic_10deg_synthetic.csv,sic_10deg_synthetic,1026.0,45.83841
sic_10deg_synthetic.csv,sic_10deg_synthetic,1027.0,45.649076
sic_10deg_synthetic.csv,sic_10deg_synthetic,1028.0,45.459383
sic_10deg_synthetic.csv,sic_10deg_synthetic,1029.0,45.26945
sic_10deg_synthetic.csv,sic_10deg_synthetic,1030.0,45.079395
sic_10deg_synthetic.csv,sic_10deg_synthetic,1031.0,44.889335
sic_10deg_synthetic.csv,sic_10deg_synthetic,1032.0,44.699389
sic_10deg_synthetic.csv,sic_10deg_synthetic,1033.0,44.509676
sic_10deg_synthetic.csv,sic_10deg_synthetic,1034.0,44.320312
sic_10deg_synthetic.csv,sic_10deg_synthetic,1035.0,44.131416
sic_10deg_synthetic.csv,sic_10deg_synthetic,1036.0,43.943104
sic_10deg_synthetic.csv,sic_10deg_synthetic,1037.0,43.755494
